#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.104976E-04   0.197876E+08   0.197876E+08   0.263697E+08   0.263694E+08   0.197898E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.517239E+01
   0.115914E-04   0.197876E+08   0.197876E+08   0.263666E+08   0.263663E+08   0.197898E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.571114E+01
   0.127992E-04   0.197876E+08   0.197876E+08   0.263629E+08   0.263625E+08   0.197898E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.630597E+01
   0.141329E-04   0.197876E+08   0.197876E+08   0.263584E+08   0.263579E+08   0.197897E+08   0.197876E+08   0.197876E+08   0.197943E+08  -0.473119E+00   0.104471E+08   0.104471E+08   0.696268E+01
   0.156055E-04   0.197876E+08   0.197876E+08   0.263529E+08   0.263522E+08   0.197897E+08   0.197876E+08   0.197876E+08   0.197942E+08  -0.473118E+00   0.104471E+08   0.104471E+08   0.768771E+01
   0.172315E-04   0.197876E+08   0.197876E+08   0.263462E+08   0.263454E+08   0.197897E+08   0.197876E+08   0.197876E+08   0.197942E+08  -0.473118E+00   0.104471E+08   0.104471E+08   0.848811E+01
   0.190270E-04   0.197876E+08   0.197876E+08   0.263380E+08   0.263370E+08   0.197897E+08   0.197876E+08   0.197876E+08   0.197942E+08  -0.473118E+00   0.104471E+08   0.104471E+08   0.937170E+01
   0.210095E-04   0.197875E+08   0.197875E+08   0.263280E+08   0.263269E+08   0.197896E+08   0.197875E+08   0.197875E+08   0.197942E+08  -0.473117E+00   0.104471E+08   0.104471E+08   0.103471E+02
   0.231986E-04   0.197875E+08   0.197875E+08   0.263159E+08   0.263145E+08   0.197896E+08   0.197875E+08   0.197875E+08   0.197942E+08  -0.473116E+00   0.104471E+08   0.104471E+08   0.114237E+02
   0.256159E-04   0.197875E+08   0.197875E+08   0.263011E+08   0.262993E+08   0.197895E+08   0.197875E+08   0.197875E+08   0.197941E+08  -0.473116E+00   0.104471E+08   0.104471E+08   0.126119E+02
   0.282850E-04   0.197875E+08   0.197874E+08   0.262831E+08   0.262809E+08   0.197894E+08   0.197875E+08   0.197875E+08   0.197941E+08  -0.473115E+00   0.104471E+08   0.104471E+08   0.139232E+02
   0.312322E-04   0.197874E+08   0.197874E+08   0.262611E+08   0.262585E+08   0.197893E+08   0.197874E+08   0.197874E+08   0.197940E+08  -0.473113E+00   0.104470E+08   0.104470E+08   0.153703E+02
   0.344865E-04   0.197874E+08   0.197874E+08   0.262343E+08   0.262311E+08   0.197892E+08   0.197874E+08   0.197874E+08   0.197940E+08  -0.473112E+00   0.104470E+08   0.104470E+08   0.169668E+02
   0.380798E-04   0.197873E+08   0.197873E+08   0.262017E+08   0.261978E+08   0.197890E+08   0.197873E+08   0.197873E+08   0.197939E+08  -0.473110E+00   0.104470E+08   0.104470E+08   0.187279E+02
   0.420477E-04   0.197872E+08   0.197872E+08   0.261620E+08   0.261573E+08   0.197888E+08   0.197872E+08   0.197872E+08   0.197938E+08  -0.473108E+00   0.104469E+08   0.104469E+08   0.206701E+02
   0.464289E-04   0.197871E+08   0.197871E+08   0.261137E+08   0.261079E+08   0.197886E+08   0.197871E+08   0.197871E+08   0.197937E+08  -0.473105E+00   0.104469E+08   0.104469E+08   0.228116E+02
   0.512666E-04   0.197870E+08   0.197870E+08   0.260548E+08   0.260478E+08   0.197883E+08   0.197870E+08   0.197870E+08   0.197936E+08  -0.473102E+00   0.104468E+08   0.104468E+08   0.251721E+02
   0.566085E-04   0.197869E+08   0.197869E+08   0.259833E+08   0.259747E+08   0.197880E+08   0.197869E+08   0.197869E+08   0.197935E+08  -0.473098E+00   0.104468E+08   0.104468E+08   0.277727E+02
   0.625069E-04   0.197867E+08   0.197867E+08   0.258963E+08   0.258859E+08   0.197876E+08   0.197867E+08   0.197867E+08   0.197933E+08  -0.473093E+00   0.104467E+08   0.104467E+08   0.306367E+02
   0.690199E-04   0.197865E+08   0.197865E+08   0.257906E+08   0.257779E+08   0.197871E+08   0.197865E+08   0.197865E+08   0.197931E+08  -0.473087E+00   0.104466E+08   0.104466E+08   0.337888E+02
   0.762116E-04   0.197863E+08   0.197863E+08   0.256622E+08   0.256468E+08   0.197865E+08   0.197863E+08   0.197863E+08   0.197928E+08  -0.473080E+00   0.104464E+08   0.104464E+08   0.372556E+02
   0.841526E-04   0.197860E+08   0.197860E+08   0.255065E+08   0.254879E+08   0.197858E+08   0.197860E+08   0.197860E+08   0.197924E+08  -0.473071E+00   0.104463E+08   0.104463E+08   0.410651E+02
   0.929210E-04   0.197857E+08   0.197856E+08   0.253179E+08   0.252952E+08   0.197849E+08   0.197857E+08   0.197857E+08   0.197920E+08  -0.473061E+00   0.104461E+08   0.104461E+08   0.452467E+02
   0.102603E-03   0.197852E+08   0.197852E+08   0.250896E+08   0.250622E+08   0.197838E+08   0.197852E+08   0.197852E+08   0.197915E+08  -0.473048E+00   0.104459E+08   0.104458E+08   0.498308E+02
   0.113294E-03   0.197847E+08   0.197847E+08   0.248138E+08   0.247807E+08   0.197825E+08   0.197847E+08   0.197847E+08   0.197909E+08  -0.473032E+00   0.104456E+08   0.104456E+08   0.548480E+02
   0.125099E-03   0.197841E+08   0.197840E+08   0.244814E+08   0.244414E+08   0.197808E+08   0.197840E+08   0.197841E+08   0.197902E+08  -0.473013E+00   0.104452E+08   0.104452E+08   0.603284E+02
   0.138134E-03   0.197833E+08   0.197832E+08   0.240816E+08   0.240335E+08   0.197789E+08   0.197833E+08   0.197833E+08   0.197893E+08  -0.472990E+00   0.104448E+08   0.104448E+08   0.663006E+02
   0.152527E-03   0.197823E+08   0.197822E+08   0.236023E+08   0.235446E+08   0.197765E+08   0.197823E+08   0.197823E+08   0.197882E+08  -0.472961E+00   0.104443E+08   0.104443E+08   0.727894E+02
   0.168420E-03   0.197812E+08   0.197811E+08   0.230299E+08   0.229609E+08   0.197736E+08   0.197811E+08   0.197812E+08   0.197869E+08  -0.472927E+00   0.104437E+08   0.104436E+08   0.798138E+02
   0.185969E-03   0.197798E+08   0.197796E+08   0.223494E+08   0.222671E+08   0.197700E+08   0.197797E+08   0.197798E+08   0.197854E+08  -0.472886E+00   0.104429E+08   0.104429E+08   0.873841E+02
   0.205346E-03   0.197781E+08   0.197779E+08   0.215448E+08   0.214474E+08   0.197657E+08   0.197780E+08   0.197780E+08   0.197834E+08  -0.472835E+00   0.104420E+08   0.104419E+08   0.954976E+02
